CHOP_ID_1,CHOP_ID_2,CHOP_ID_3,CHOP_ID_4
2307B01C0110D01,2307B01C0015D01,2307B01C0111D01,2307B01C0124D01
2307B01C0018D01,2307B01C0121D01,2307B01C0122D01,2307B01C0013D01
2307B01C0016D01,2307B01C0117D01,2307B01C0012D01,2307B01C0125D01
2307B01C0011D01,2307B01C0129D01,2307B01C0123D01,2307B01C0116D01
