study_number,original_chop_id,standardized_chop_id,block,setting,sex,sireline,days_aging,days_display,ph,ventral_color,ventral_marbling,ventral_firmness,minolta_ventral_l,minolta_ventral_a,minolta_ventral_b,chop_color,chop_marbling,chop_firmness,minolta_chop_l,minolta_chop_a,minolta_chop_b,moisture_percent,fat_percent,source_file,import_date
2004,456.0,2004B00C0456D00,0.0,. ,G,Duroc,,,5.57,3.0,2.0,3.5,43.4571550577503,7.154034608,4.132805367,3.5,2.0,3.0,52.1142,7.1469,5.5039,0.750004174057876,0.012004669396009518,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,404.0,2004B00C0404D00,0.0,. ,B,Duroc,,,5.5,3.0,2.5,2.5,48.80600427,8.098388313,5.66298835,3.5,2.5,3.5,50.8157,9.2479,6.7273,0.7300321505363394,0.03252982516373113,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,431.0,2004B00C0431D00,0.0,. ,G,Compart,,,5.54,2.5,2.0,3.0,46.21222942,7.408184391,4.559792304,3.5,2.5,3.0,54.5891,9.8986,8.3351,0.7295453973252097,0.03473569740617448,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,436.0,2004B00C0436D00,0.0,. ,G,Duroc,,,5.53,3.5,1.5,3.0,44.86587355,7.974547253,4.532302815,3.5,2.5,3.0,52.2072,9.6933,7.3711,0.7500348956001257,0.020149950872539846,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,446.0,2004B00C0446D00,0.0,. ,G,Duroc,,,5.58,3.5,2.0,2.5,44.1198364889266,8.132160646,4.915528475,3.5,2.5,3.0,49.4135,9.9415,7.4094,0.7385468822549748,0.021434393600608434,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,451.0,2004B00C0451D00,0.0,. ,G,Compart,,,5.58,3.0,2.0,2.5,43.7884957733384,7.093140716,3.873304435,3.5,2.5,2.5,50.7655,7.0228,5.1928,0.7515227252581901,0.014332455326335997,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,454.0,2004B00C0454D00,0.0,. ,G,Compart,,,5.56,3.0,1.5,3.0,43.5399902366473,8.492206964,6.706267686,3.5,2.5,3.0,52.0514,7.5487,5.9515,0.739172791975776,0.026636795260907852,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,461.0,2004B00C0461D00,0.0,. ,G,Compart,,,5.53,3.0,2.0,3.0,43.1258143421621,7.904042462,5.033716743,3.5,2.5,2.5,55.9885,6.2293,5.2647,0.7421950684170449,0.015688134263229275,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,401.0,2004B00C0401D00,0.0,. ,B,Compart,,,5.52,3.5,2.5,3.0,46.19,8.490533518,4.986920293,3.5,3.0,3.5,52.7475,8.1748,5.9429,0.7360486319177681,0.026704777860876362,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,413.0,2004B00C0413D00,0.0,. ,B,Compart,,,5.59,3.0,2.0,3.0,42.61672566,7.378213885,4.083684049,3.5,3.0,3.5,50.0768,10.4347,7.767,0.7220746652117662,0.044531951761136876,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,423.0,2004B00C0423D00,0.0,. ,B,Compart,,,5.63,3.0,2.0,2.0,47.72257274,7.454875207,5.44887518,3.5,3.0,2.5,50.1494,6.2646,5.0112,0.7285516651517645,0.027291712165330034,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
2004,426.0,2004B00C0426D00,0.0,. ,B,Duroc,,,5.54,3.0,2.0,3.0,46.96267877,6.696232211,5.515784646,3.5,3.0,3.5,54.2765,5.8457,5.4188,0.7328978998353899,0.035541346200906467,20-04 Standardized Master File.xlsx,2025-11-30T13:13:39.329753
